text,label
คุณชาย กอล์ฟ แลกกับโมราต้า และเบียร์ ลีโอ ลังนึง,neutral
แล้วที่เกิดอุบัติเหตุแล้วไป รพ รัฐ ไปห้องฉุกเฉิน เค้าก็ให้ใช้สิทธิ์ บัตรทอง 30 บาท อันนั้น ไม่ใช้ งบประมาณรัฐเหรอครับ ขับไปชนเสาไฟ เงินซ้อมเสาไฟ ไม่ใช่ของรัฐเหรอครับ เงินเดือนหมอพยาบาล ที่ดูแลคนเจ็บ มิใช่ เงินจากรัฐเหรอครับ,neutral
กินกะหนูไงง,positive
สำนักงานทรัพย์สิน เมื่อเป็นเจ้าของ ควรสั่งรื้อทิ้งได้นะ,neutral
งืออ,neutral
ก้อนไม่ได้ทำอะไรน้า :),neutral
เธอบอกว่าเหล้าเบียร์ไม่เตะ🙌 เธอเสือกกะเดะไปจิบสปาย😂 แคปชั่น แคปชั่นกวนตีน แคปชั่นเด็ด แคปชั่นอ่อย แคปชั่นโสด แคปชั่นเสี่ยว,negative
เช้าๆอากาศเย็น ไม่ต้องตกใจ!! หากหน้าจอรถยนต์มิตซูบิชิของท่านมีสัญลักษณ์นี้แสดงที่หน้าปัดนะคะ ปกติ ดีค่ะ ท่านใดทราบบ้างว่า สัญลักษณ์นี้คือ?,negative
บ่นกันเยอะเเต่ชื่อไม่ลงก็นั้นเเหละดูดกันเเบบเเอบๆในบ้าน พกออกไปข้างนอกทีเหมือนพกยาบ้าไปเหอพๆ,neutral
เต้ ภูริต = ทายาทผู้บริหารเบียร์สิงห์ เพิ่งไปหาจากกูเกิลมาเนี่ย55 เป็นไงล่ะคุ้นมาก ถอดหน้ากากออกมา ใครวะ55 themasksinger3,negative
ไปดิๆๆ,positive
ม่ายย มันเน้นไก่หมู กูเน้นกุ้งกับปลสหมึกกรอบ,negative
ครอบครัวรัก รักครอบครัว น่ากินจุง,positive
Dmax G1 ที่บ้าน 15 ปีเครื่องเดิมๆไม่เปลี่ยนไม่เคยมีปัญหา ซื้อใหม่อีกคันสงสัยคงต้องเอา Dmax กลับมาพิจารณาใหม่,negative
รีโว่แค็ป ราคา9แสนกว่าเลยหรอคับ,neutral
อุณหภูมิมนุษย์เดือด=(คุณวุฒิ+วัยวุฒิ)/ผลประโยชน์ ถ้าตัวหารเยอะ จุดเดือดก็จะตำ่ไปด้วย เดือดง่ายนะหมอ,neutral
อยู่ด้วยกันนานๆน่ะอยากทำแบบนี้บ้างจัง💏,neutral
รอกินฟรี,neutral
"ปี 2017 Shopee ขาดทุน 1,400 ล้านบาท Grab ขาดทุน 990 ล้านบาท Lazada ขาดทุน 570 ล้านบาท แล้วทำไม Startup ที่จดทะเบียนในประเทศไทยทั้ง 3 บริษัท ถึงยอมที่จะขาดทุน ลงทุนแมนจะเล่าให้ฟัง",neutral
เรื่องเหล้าของวันวาน ปล.ขิ่นแม่งอ่อน เหมียวบุญมี เหมียวมะขิ่น เหมียวเตนล์ 텐냥 tigerjamsth tigerbeerth,negative
